,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Year
258,batman arkham city,Action,T,X360,Warner Bros. Interactive,9.5,8.310770234986945,2.47,2011.0
259,driver 2,Action,T,PS,Atari,7.0,8.310770234986945,1.8158729063132706,2000.0
260,the simpsons hit amp run,Racing,T,PS2,VU Games,7.7,8.310770234986945,1.8158729063132706,2003.0
261,world of warcraft cataclysm,MMO,T,PC,Blizzard Entertainment,9.0,8.310770234986945,4.7,2010.0
262,tony hawks pro skater 2,Sports,T,PS,Activision,9.3,8.310770234986945,1.8158729063132706,2000.0
263,monster hunter world,Action,T,PS4,Capcom,9.3,9.0,1.8158729063132706,2018.0
264,gran turismo,Racing,E,PSP,Sony Computer Entertainment,7.7,9.5,4.67,2009.0
265,the lord of the rings the two towers,Action,T,PS2,Electronic Arts,8.3,8.310770234986945,1.8158729063132706,2002.0
266,tomb raider,Action,T,PS,Eidos Interactive,8.9,8.310770234986945,1.8158729063132706,1996.0
267,god of war,Action,M,PS2,Sony Computer Entertainment,9.3,8.310770234986945,4.62,2005.0
268,forza motorsport 4,Racing,E,X360,Microsoft Studios,9.1,8.310770234986945,1.8158729063132706,2011.0
269,guitar hero iii legends of rock,Misc,T,Wii,RedOctane,8.6,8.0,1.8158729063132706,2007.0
270," pikachu""",Role Playing,E,NS,Nintendo,8.3,8.310770234986945,1.8158729063132706,2018.0
